x J0 J1 J2
14.9000 0.006392 0.206876 0.021377
14.9500 -0.003939 0.206245 0.031530
15.0000 -0.014224 0.205104 0.041572
15.0500 -0.024441 0.203457 0.051478
15.1000 -0.034562 0.201310 0.061225
15.1500 -0.044563 0.198670 0.070791
15.2000 -0.054421 0.195545 0.080150
15.2500 -0.064110 0.191945 0.089283
15.3000 -0.073608 0.187879 0.098167
15.3500 -0.082890 0.183360 0.106781
15.4000 -0.091936 0.178400 0.115105
15.4500 -0.100723 0.173013 0.123120
15.5000 -0.109231 0.167213 0.130807
15.5500 -0.117438 0.161017 0.138148
15.6000 -0.125326 0.154440 0.145126
15.6500 -0.132876 0.147500 0.151726
15.7000 -0.140070 0.140216 0.157932
15.7500 -0.146892 0.132606 0.163731
15.8000 -0.153326 0.124691 0.169109
15.8500 -0.159356 0.116491 0.174056
15.9000 -0.164970 0.108028 0.178559
15.9500 -0.170155 0.099322 0.182609
16.0000 -0.174899 0.090397 0.186199
16.0500 -0.179192 0.081275 0.189319
16.1000 -0.183024 0.071979 0.191965
16.1500 -0.186387 0.062534 0.194131
16.2000 -0.189275 0.052961 0.195813
16.2500 -0.191682 0.043287 0.197009
16.3000 -0.193602 0.033535 0.197717
16.3500 -0.195034 0.023729 0.197937
16.4000 -0.195975 0.013895 0.197669
16.4500 -0.196424 0.004055 0.196917
16.5000 -0.196381 -0.005764 0.195682
16.5500 -0.195848 -0.015540 0.193970
16.6000 -0.194828 -0.025247 0.191786
16.6500 -0.193325 -0.034863 0.189137
16.7000 -0.191344 -0.044362 0.186031
16.7500 -0.188891 -0.053724 0.182476
16.8000 -0.185974 -0.062923 0.178483
16.8500 -0.182601 -0.071939 0.174063
16.9000 -0.178783 -0.080749 0.169227
16.9500 -0.174530 -0.089333 0.163990
17.0000 -0.169854 -0.097668 0.158364
17.0500 -0.164768 -0.105737 0.152365
17.1000 -0.159285 -0.113519 0.146008
17.1500 -0.153421 -0.120996 0.139311
17.2000 -0.147191 -0.128150 0.132290
17.2500 -0.140612 -0.134964 0.124964
17.3000 -0.133701 -0.141423 0.117351
17.3500 -0.126476 -0.147512 0.109471
17.4000 -0.118956 -0.153216 0.101345
17.4500 -0.111161 -0.158523 0.092992
17.5000 -0.103110 -0.163420 0.084434
17.5500 -0.094826 -0.167897 0.075692
17.6000 -0.086328 -0.171943 0.066789
17.6500 -0.077639 -0.175550 0.057746
17.7000 -0.068780 -0.178710 0.048587
17.7500 -0.059775 -0.181416 0.039334
17.8000 -0.050646 -0.183663 0.030010
17.8500 -0.041417 -0.185448 0.020638
17.9000 -0.032109 -0.186765 0.011242
17.9500 -0.022748 -0.187615 0.001844
18.0000 -0.013356 -0.187995 -0.007533
18.0500 -0.003956 -0.187906 -0.016864
18.1000 0.005427 -0.187350 -0.026129
18.1500 0.014771 -0.186329 -0.035303
18.2000 0.024052 -0.184848 -0.044365
18.2500 0.033248 -0.182910 -0.053293
18.3000 0.042336 -0.180523 -0.062065
18.3500 0.051293 -0.177693 -0.070660
18.4000 0.060098 -0.174428 -0.079057
18.4500 0.068729 -0.170738 -0.087237
